Owner,Total Capacity (ttpa),Number of Plants
Baosteel Group Xinjiang Bayi Iron & Steel Co Ltd,7300.0,1
Hebei Anfeng Iron & Steel Co Ltd,7100.0,1
Dexin Steel Pte Ltd,7000.0,1
Sansteel Minguang Co Ltd Fujian,6799.0,1
ArcelorMittal Atlantique et Lorraine SAS,6750.0,1
Lianfeng Steel (Zhangjiagang) Co Ltd,6720.0,1
Tianjin Iron and Steel Group Co Ltd,6650.0,1
ArcelorMittal México SA de CV,6500.0,1
Jingye Iron and Steel Co Ltd,6400.0,1
Beijing Shougang Co Ltd,6300.0,1
Companhia Siderúrgica Nacional SA,6251.0,1
Tosyali Ironsteel Industry Algerie SpA,6200.0,1
Fujian Sanbao Steel Co Ltd,6196.0,1
Gerdau Ameristeel Corp,6193.0,7
Dragon Steel Corp,6081.0,1
Guangxi Guixin Steel Group Co Ltd,6050.0,1
Big River Steel LLC,6022.0,1
Saudi Iron and Steel Co,6000.0,1
Toscelik Profil ve Sac Endustrisi AS,6000.0,2
Qazaqstan Steel Group LLP,6000.0,1
Lingyuan Iron & Steel Co Ltd,5994.0,1
Anyang Iron & Steel Co Ltd,5950.0,1
Jiangyin Xingcheng SPECIAL Steel Works Co Ltd,5900.0,1
Panzhihua Steel Group Panzhihua Steel Vanadium Co Ltd,5900.0,1
Zenith Steel Group (Nantong) Co Ltd,5850.0,1
Iskenderun Demir ve Celik AŞ,5800.0,1
Chelyabinskiy Metallurgicheskiy Kombinat PJSC,5799.0,1
Qian'an City Jiujiang Wire Co Ltd,5729.0,1
Tangshan Ganglu Iron & Steel Co Ltd,5614.0,1
Hebei Puyang Iron and Steel Co Ltd,5567.0,1
Tata Steel BSL Ltd,5510.0,1
Rizhao Steel Yingkou Medium Plate Co Ltd,5500.0,1
Promsort LLC,5500.0,3
Tangshan Donghai Iron and Steel Group Co Ltd,5499.0,1
Alchevsk Metallurgical Plant PJSC,5472.0,1
Shandong Iron & Steel Group Yongfeng Lingang Corp,5400.0,1
Zhongxin Iron and Steel Group Co Ltd,5400.0,1
ArcelorMittal España SA,5400.0,2
Ternium Brasil Ltda,5200.0,1
Commercial Metals Co,5076.0,7
Wuyang Iron and Steel Co Ltd,5040.0,1
Içdaş Çelik Enerji Tersane Ve Ulaşim Sanayi AŞ,5001.0,1
Laiwu Steel Yinshan Section Co Ltd,5001.0,1
ArcelorMittal Poland SA,5001.0,1
Usinas Siderurgicas de Minas Gerais SA,5000.0,1
Hebei Jinxi Iron & Steel Group Co Ltd,5000.0,1
Hebei Xinda Iron and Steel Co Ltd,5000.0,1
Tangshan Songting IRON&STEEL Co Ltd,5000.0,1
Tianjin Iron PLANT Co Ltd,4870.0,1
Shanxi Jinnan Iron and Steel Group Co Ltd,4800.0,1
Guangxi Chiji Iron and Steel Co Ltd,4800.0,1
Tokyo Steel Manufacturing Co Ltd,4786.0,4
Kardemir Karabuk Demir Çelik Sanayi Ve Ticaret AŞ,4751.0,2
Shanxi Jianlong Industrial Co Ltd,4750.0,1
Gansu Jiu Steel Group Hongxing Iron and Steel Co Ltd,4734.0,1
JiuJiang PXSteel Co Ltd,4700.0,1
ArcelorMittal SA,4650.0,3
Shiheng SPECIAL Steel Group Co Ltd,4650.0,1
Jincheng FUSHENG Iron & Steel Co Ltd,4600.0,1
Tonghua Iron & Steel Co Ltd,4590.0,1
Kobe Steel Ltd,4536.0,1
DeAcero SAPI de CV,4500.0,2
US Steel Košice sro,4500.0,1
Tangshan RUIFENG Steel and Iron (GROUP) Co Ltd,4500.0,1
Tianjin Tiangang UNITED SPECIAL Steel Co Ltd,4500.0,1
Habas Industrial and Medical Gases Production Industries AŞ,4500.0,1
Çolakoğlu Metalürji AŞ,4500.0,1
Hanshan Iron and Steel Co Ltd,4488.0,1
Evraz NTMK JSC,4400.0,1
Chengde Jianlong SPECIAL Steel Co Ltd,4400.0,1
Gerdau Acominas SA,4360.0,1
Ternium México SA de CV,4330.0,3
Acciaieria Arvedi SpA,4300.0,1
Baowu Group Echeng Iron & Steel Co Ltd,4276.0,1
Jianlong Xilin Iron and Steel Co Ltd,4200.0,1
Tangshan Heavy Plate Co Ltd,4200.0,1
Chengyu Vanadium & Titanium Technology Co Ltd,4050.0,1
Jiugang Group Yuzhong Iron & Steel Co Ltd,4000.0,1
PT Krakatau Steel (Persero) Tbk,4000.0,1
Voestalpine Stahl GmbH,4000.0,1
Ningbo Iron & Steel Co Ltd,3999.0,1
Hebei Taihang Iron and Steel Group Co Ltd,3950.0,1
Pangang Group Xichang Steel and Vanadium Co Ltd,3900.0,1
Al Ezz Flat Steel Company SAE,3900.0,1
Shandong Iron and Steel Co Ltd,3850.0,1
Eregli Demir ve Celik Fabrikalari AŞ,3801.0,1
Anhui Changjiang Steel Co Ltd,3800.0,1
Shaanxi LONG MEN IRON&STEEL Co Ltd,3800.0,1
Algoma Steel Group Inc,3700.0,1
Zenith Steel Group Co Ltd,3700.0,1
Fujian Great Dong Hai Industrial Group Co Ltd,3695.0,1
"Xinyang Iron & Steel Co.,ltd of Angang Group",3600.0,1
Esfahan Steel Co,3600.0,1
Emsteel Building Materials PJSC,3600.0,1
Khouzestan Steel Co,3600.0,1
Xinji AOSEN Steel Group Co Ltd,3600.0,1
Dongkuk Steel Mill Co Ltd,3600.0,2
Shanxi Zhongyang Iron & Steel Co Ltd,3600.0,1
Shougang Changzhi IRON& Steel Co Ltd,3600.0,1
Shougang Shuicheng Iron & Steel (Group) Co Ltd,3501.0,1
Ternium Argentina SA,3501.0,1
Alliance Steel (M) Sdn Bhd,3500.0,1
Ningxia Jianlong Special Steel Co Ltd,3500.0,1
Kamet-Steel PrJSC,3500.0,1
Oskol'skiy Elektrometallurgicheskiy Kombinat Imeni Alekseya Alekseyevicha Ugarova JSC,3500.0,1
Qinhuangdao Hongxing Iron & Steel Co Ltd,3450.0,1
Osaka Steel Co Ltd,3450.0,1
Henan Jiyuan Iron & Steel (Group) Co Ltd,3428.0,1
Daye SPECIAL Steel Co Ltd,3420.0,1
Guangxi BG New Materials Co Ltd,3400.0,1
Tangshan Donghua Iron & Steel Enterprise Group Co Ltd,3400.0,1
Linyi Iron and Steel Investment Group Co Ltd,3400.0,1
ArcelorMittal South Africa Ltd,3360.0,1
Yangzhou Hengrun Ocean Heavy Industry Co Ltd,3300.0,1
JSW Vijayanagar Metallics Ltd,3300.0,1
Hubei Jinshenglan Metallurgical Technology Co Ltd,3250.0,1
Rockcheck Steel Group Co Ltd,3250.0,1
Baosteel Desheng Stainless Steel Co Ltd,3220.0,1
BlueScope Steel Ltd,3200.0,1
Al Ezz Dekheila Steel Company Alexandria SAE,3200.0,1
Nucor Yamato Steel Co,3174.0,1
Nghi Son VAS Group JSC,3150.0,1
Izmir Demir Celik Sanayi AŞ,3100.0,1
Nucor Steel Decatur LLC,3100.0,1
Zhuhai Yueyufeng IRON&STEEL Co Ltd,3051.0,1
Jiangsu Xusteel Group Co Ltd,3050.0,1
North Star BlueScope Steel Ltd,3034.0,1
Hebei Tianzhu Iron and Steel Group Special Steel Co Ltd,3034.0,1
Lianyungang Yaxin Iron and Steel Co Ltd,3000.0,1
PT Krakatau Posco,3000.0,1
Shanxi Xintai Iron & Steel Co Ltd,3000.0,1
"Sichuan De Sheng Group, Vanadium and Titanium Co Ltd",3000.0,1
Shangang Group Hanzhong Iron & Steel Co Ltd,3000.0,1
Nanyang Hanye SPECIAL STREET Co Ltd,3000.0,1
Tangshan Guotang Steel Co Ltd,3000.0,1
KISCO Corp,3000.0,1
NMDC Steel Ltd,3000.0,1
DELONG Steel Ltd,3000.0,1
BMZ-Upravlyayushchaya Kompaniya Kholdinga BMK JSC,3000.0,1
Fujian Tsingtuo Nickel Industry Co Ltd,3000.0,1
Anhui Shoukuang Dachang Metal Material Co Ltd,3000.0,1
Jinding Heavy Industries Co Ltd,3000.0,1
Egyptian Sponge Iron & Steel Company SAE,3000.0,1
Jindal Stainless Ltd,3000.0,2
Weifang SPECIAL Steel Group Co Ltd,3000.0,1
Lengshuijiang Iron and Steel Co Ltd,3000.0,1
Lianyungang Xingxin Iron and Steel Co Ltd,3000.0,1
Tianjin Pipe Corp,3000.0,1
Yunnan Yuxi Xianfu Iron and Steel (Group) Co Ltd,2980.0,1
Qingdao Special Iron and Steel Co Ltd,2950.0,1
Zaporiz'kyi Metalurhiinyi Kombinat Zaporizhstal' PJSC,2930.0,1
Tung Ho Steel Enterprise Corp,2900.0,3
Shyam Metalics and Energy Ltd,2859.0,2
Shandong Shouguang Juneng SPECIAL Steel Co Ltd,2850.0,1
PT Gunung Raja Paksi Tbk,2800.0,1
Fangda Special Steel Technology Co Ltd,2800.0,1
ShanXi TongCai Industry and Trade Co Ltd,2780.0,1
Liyang Baorun Steel Co Ltd,2760.0,1
Jiangsu Shagang Group Huaigang SPECIAL Steel Co Ltd,2714.0,1
Chifeng Zhongtang Special Steel Co Ltd,2700.0,1
Arvand Jahanara Steel Co,2700.0,1
Fulun Iron & Steel Co Ltd,2700.0,1
Eastern Steel Sdn Bhd,2700.0,1
Hebei Xinjin Iron and Steel Co Ltd,2700.0,1
Anhui Guihang Special Steel Co Ltd,2700.0,1
Jinan Iron & Steel Group Co Ltd,2700.0,1
Shanxi Gaoyi Steel Co Ltd,2700.0,1
Jilin Jianlong Steel Co Ltd,2700.0,1
Tongling City Xuanli Special Steel Co Ltd,2700.0,1
Fushun New Steel Corp Ltd,2700.0,1
Dongbei Special Steel Group Dalian Special Steel Co Ltd,2695.0,1
Anyuan Iron & Steel Co Ltd,2650.0,1
Fujian Luoyuan Minguang Iron & Steel Co Ltd,2650.0,1
Kyoei Steel Ltd,2645.0,3
Shagang Group Anyang Yongxing Iron & Steel Co Ltd,2600.0,1
Arab Steel Co,2600.0,1
Yunnan Qujing Iron and Steel Group Chenggang Iron and Steel Co Ltd,2600.0,1
Benxi Beiying Iron & Steel (GROUP) Co Ltd,2600.0,1
Qatar Steel Company QPSC,2574.0,1
Jianlong Beiman SPECIAL Steel Co Ltd,2570.0,1
ArcelorMittal Méditerranée SAS,2550.0,1
Hoa Phat Hai Duong Steel JSC,2525.0,1
Shanxi Tongde Xinghua Special Steel Co Ltd,2500.0,1
MMK Metalurji Sanayi Ticaret ve Liman Isletmeciligi AŞ,2500.0,1
Compania Espanola de Laminacion SL,2500.0,1
Badische Stahlwerke GmbH,2500.0,1
Hebei Xinxing Ductile Iron Pipes Co Ltd,2500.0,1
Gerdau Acos Longos SA,2486.0,3
Chifeng Yuanlian Steel Co Ltd,2450.0,1
SSAB Americas Holding AB,2450.0,2
Tangshan Zhengfeng Steel Co Ltd,2439.0,1
Yancheng Lianxin Steel Co Ltd,2410.0,1
Yangzhou Qinyou Special Metal Materials Co Ltd,2400.0,1
Jindal Shadeed Iron & Steel LLC,2400.0,1
ArcelorMittal Long Products Canada GP,2400.0,1
Yangchun New Iron & Steel Co Ltd,2400.0,1
Guangdong Nanfang Donghai Iron and Steel Co Ltd,2400.0,1
Guangdong Jinshenglan Metallurgical Technology Co Ltd,2400.0,1
Kish South Kaveh Steel Co,2400.0,1
Hebei Rongxin Iron & Steel Co Ltd,2300.0,1
Hebei Tangyin IRON&STEEL Co Ltd,2300.0,1
Shanxi HONGDA Iron and Steel Group Co Ltd,2300.0,1
Evraz North America PLC,2300.0,2
Liaoyang United Steel Co Ltd,2300.0,1
Qinhuangdao Baigong Steel Co Ltd,2260.0,1
Jiangsu Province Binxin Steel Group Co Ltd,2250.0,1
JFE Bars & Shapes Corp,2220.0,3
Changshu Longteng Special Steel Co Ltd,2213.0,1
BMM Ispat Ltd,2208.0,1
Yenakiieve Metallurgical Plant Branch PJSC,2200.0,1
Ferriere Nord SpA,2200.0,1
Aperam Stainless Belgium NV,2200.0,2
Algerian Qatari Steel,2200.0,1
Xiangfen County XinJinShan Special Steel Co Ltd,2200.0,1
HBIS Group Serbia Iron & Steel Beograd doo,2199.0,1
Groupe Industriel Sider SpA,2150.0,1
SeAH Besteel Holdings Corp,2101.0,1
Suez Steel Company SAE,2100.0,1
Liberty Steel Group,2060.0,2
Guangdong Yuebei United Steel Co Ltd,2055.0,1
Uralskaya Stal JSC,2050.0,1
Heilongjiang Jianlong Iron and Steel Co Ltd,2001.0,1
Luzhou Xinyang Vanadium Titanium Steel Co Ltd,2000.0,1
Houying Group Haicheng Iron and Steel Co Ltd,2000.0,1
Arcelormittal Sestao SL,2000.0,1
Inner Mongolia Yaxinlongshun Special Steel Co Ltd,2000.0,1
Hubei Shunle Iron and Steel Co Ltd,2000.0,1
Hubei Lijin Steel Group Co Ltd,2000.0,1
Amsteel Mills Sdn Bhd,2000.0,2
Jiangsu Changqiang Iron & Steel Co Ltd,2000.0,1
Shijiazhuang Iron and Steel Co Ltd,2000.0,1
Alfa Acciai SpA,2000.0,1
Guangdong Jingye Iron and Steel Co Ltd,2000.0,1
Xinxing Ductile Iron Pipes Xinjiang Co Ltd,2000.0,1
Wuhu Xinxing Ductile Iron Pipes Co Ltd,2000.0,1
Wuhu Fuxin Iron & Steel Co Ltd,2000.0,1
Wuhan Shunle Stainless Steel Co Ltd,2000.0,1
Wuhai Baogang Wanteng Iron and Steel Co Ltd,2000.0,1
Fujian Wuhang Stainless Steel Products Co Ltd,2000.0,1
Acindar Industria Argentina de Aceros SA,2000.0,1
Fuzhou Wuhang Steel Products Co Ltd,2000.0,1
Tangshan Wenfeng Special Steel Co Ltd,2000.0,1
Tangshan Fengnan District Jing'an Iron and Steel Co Ltd,2000.0,1
Guangdong Guangqing METAL Technology Co Ltd,2000.0,1
ArcelorMittal Bremen GmbH,2000.0,1
BERIS Jiangsu Heavy Industry Co Ltd,2000.0,1
Guizhou United Steel (Group) Co Ltd,1990.0,1
Sev.en Global Investments AS,1970.0,2
Aceros Especiales Simec Tlaxcala SA de CV,1956.0,2
Pavgord doo,1940.0,1
Angang Lianzhong Stainless Steel Corp,1900.0,1
Lucheng Xingbao Iron & Steel Co Ltd,1900.0,1
Yunnan Yuxi Iron and Steel Group Yukun Iron and Steel Co Ltd,1893.0,1
Hebei Huaxi Special Steel Co Ltd,1824.0,1
BES Brandenburger Elektrostahlwerke GmbH,1800.0,1
Anshan Baode Iron & Steel Co Ltd,1800.0,1
G Steel PCL,1800.0,1
Hbzx HIGH Tech Co Ltd,1800.0,1
Ningxia Iron and Steel (Group) Co Ltd,1800.0,1
Henan Angang Zhoukou Iron and Steel Co Ltd,1750.0,1
Acciaierie Venete SpA,1740.0,3
Fujian Dingsheng Steel Co Ltd,1726.0,1
Guangxi Longzhou Zhongheng Wanhua Industrial Co Ltd,1725.0,1
Siderca SAIC,1720.0,1
Feng Hsin Steel Co Ltd,1701.0,1
CMC Poland SP zoo,1700.0,1
Licheng Taihang Iron & Steel Co Ltd,1700.0,1
Godo Steel Ltd,1700.0,3
Outokumpu Stainless AB,1700.0,2
Shanxi Meijin Iron and Steel Co Ltd,1700.0,1
Heyuan Derun Steel Co Ltd,1650.0,1
Talleres y Aceros SA de CV,1650.0,1
Bangladesh Steel Re-Rolling Mills Ltd,1625.0,1
Libyan Iron and Steel Co,1614.0,1
West Alborz Steel Co,1600.0,1
Jianglong Acheng Iron & Steel Co Ltd,1600.0,1
North American Stainless Inc,1600.0,1
Sanyo Special Steel Co Ltd,1596.0,1
Jiangsu HONGTAI Metals Ware Co Ltd,1576.0,1
Orissa Metaliks Pvt Ltd,1558.0,3
Abinski Elektrometallurgicheski Zavod LLC,1550.0,1
Infrabuild Australia Pty Ltd,1530.0,2
SteelAsia Manufacturing Corp,1500.0,2
Pomina Steel JSC,1500.0,2
Jilin Jingang Lron and Steel Co Ltd,1500.0,1
Sichuan Shengquan Iron and Steel Group Co Ltd,1500.0,1
Butia Iranian Steel Co,1500.0,1
Guangxi Wuzhou Jinhai Stainless Steel Co Ltd,1500.0,1
Jiangyin Huaxi Steel Co Ltd,1500.0,1
TRINECKÉ ZELEZÁRNY AS,1500.0,1
Gerdau Corsa SAPI de CV,1500.0,2
Daido Steel Co Ltd,1500.0,1
Zhongpu (Handan) Iron and Steel Co Ltd,1500.0,1
Zarand Iranian Steel Co,1500.0,1
Danyang Longjiang Steel Co Ltd,1500.0,1
ESL Steel Ltd,1500.0,1
G J Steel PCL,1500.0,1
PT The Master Steel MFG,1500.0,1
Qian'an Zhayi Steel Group Co Ltd,1500.0,1
JSW Steel USA Ohio Inc,1500.0,1
AM/NS Calvert LLC,1500.0,1
Pasargad Steel Complex Co,1500.0,1
Aichi Steel Corp,1495.0,1
Arcelormittal Olaberria-Bergara SL,1450.0,1
Acciai Speciali Terni SpA,1450.0,1
UMK-Stal LLC,1420.0,2
ESF Elbe-Stahlwerke Feralpi GmbH,1400.0,1
Kroman Celik Sanayii AS,1400.0,1
Kaptan Demir Celik Endustrisi Ve Ticaret AŞ,1400.0,1
Khorasan Steel Complex Co,1400.0,1
Abul Khair Steel Ltd,1400.0,1
Lvliang Jianlong Industrial Co Ltd,1400.0,1
Shandong Luli Steel Co Ltd,1400.0,1
Vyksunskiy Metallurgicheskiy Zavod AO,1400.0,1
Yantai Walsin Stainless Steel Co Ltd,1400.0,1
Lech Stahlwerke GmbH,1400.0,1
Hadeed Metal Manufacturing Co,1400.0,1
Yunnan Qujing Iron and Steel Group Co Ltd,1400.0,1
Southern Steel Bhd,1400.0,1
Guangxi Guigang Iron and Steel Group Co Ltd,1400.0,1
Stomana Industry AD,1400.0,1
Heping Yueshen Steel Industrial Co Ltd,1400.0,1
Riva Acciaio SpA,1380.0,2
Rungta Mines Ltd,1375.0,4
Nippon Steel Stainless Steel Corp,1366.0,2
ArcelorMittal Dofasco GP,1350.0,1
Tongling Fuxin Iron & Steel Co Ltd,1350.0,1
Jiangsu Delong Nickel Industry Co Ltd,1350.0,1
Wulanhot Iron & Steel Co Ltd,1350.0,1
Hebei Huaxin Special Steel Co Ltd,1350.0,1
Sovel SA,1350.0,1
Inner Mongolia Desheng Metal Products Co Ltd,1350.0,1
Tata Steel (Thailand) PCL,1350.0,2
Xinjiang KingTec Steel Co Ltd,1334.0,1
Guizhou Ganglian Industrial Group Co Ltd,1325.0,1
Interpipe Ltd,1320.0,1
Yesilyurt Demir Celik Endustri Ve Liman Isletmeleri AŞ,1300.0,1
Diler Demir Celik Endustri ve Ticaret AŞ,1300.0,1
Hengyang Valin Steel Tube Co Ltd,1300.0,1
AG Siderurgica Balboa SA,1300.0,1
Siderurgica Sevillana SA,1300.0,1
Sulb Company BSCC,1265.0,1
MZ Balakovo JSC,1250.0,1
Corporacion Aceros Arequipa SA,1250.0,1
Mass Iraq Iron and Steel Industry Co,1250.0,1
Ekinciler Demir ve Celik Sanayi AŞ,1250.0,1
Acciaierie di Verona SpA,1250.0,1
Tubos de Acero de Mexico SA,1230.0,1
Feralpi Siderurgica SpA,1216.0,1
Fujian Longgang New Materials Co Ltd,1210.0,1
Charter Manufacturing Co Inc,1205.0,2
Moon Iron and Steel Company SAOC,1200.0,1
SeAH Changwon Integrated Special Steel Corp,1200.0,1
Chadormalu Mining & Industrial Co,1200.0,1
Hubei Xinxin Steel Group Co Ltd; natural person(s),1200.0,1
Celsa France SAS,1200.0,1
Huahong Iron and Steel Products Co Ltd,1200.0,1
Guangxi Guigang Iron and Steel Group Guigang Guibao SPECIAL Steel Co Ltd,1200.0,1
Solb Steel Co,1200.0,1
Sirjan Jahan Steel Co,1200.0,1
SeAh Steel Holdings Corp,1200.0,1
Univers Acier,1200.0,1
Nucor Steel Tuscaloosa Inc,1200.0,1
Ege Celik Endustrisi Sanayi ve Ticaret AŞ,1200.0,1
Bafgh Mineral Complex Iron & Steel Co,1200.0,1
Guilin Pinggang Iron and Steel Co Ltd,1200.0,1
Hebei YongYang Special Steel Group Co Ltd,1200.0,1
Egyptian American Steel Rolling Company SAE,1200.0,1
Vina One Steel Manufacturing Corp,1200.0,1
Ozkan Demir Celik Sanayi AŞ,1200.0,1
Egyptian Steel Group,1200.0,2
Tata Steel Long Products Ltd,1200.0,1
United Steel Industries Co KSCC,1200.0,1
Mesco Kalinga Steel Ltd,1200.0,1
Acerinox Europa SAU,1200.0,1
ArcelorMittal Eisenhüttenstadt GmbH,1200.0,1
AFV Acciaierie Beltrame SpA,1200.0,1
Jayaswal Neco Industries Ltd,1200.0,1
Maghreb Steel SA,1200.0,1
Zhejiang Wantai Special Steel Co Ltd,1200.0,1
Prakash Industries Ltd,1190.0,1
Amurstal LLC,1150.0,1
Hejin Huaxinyuan Steel & Iron Co Ltd,1150.0,1
Guangxi Hezhou Kexinda Metal Products Co Ltd,1150.0,1
Xinjiang Minxin Iron and Steel (Group) Minhang Special Steel Co Ltd,1110.0,1
GV do Brasil Industria e Comercio de Aço Ltda,1100.0,2
Uzbekskiy Metallurgicheskiy Kombinat JSC,1100.0,1
Gaolan County Lanxin Steel Co Ltd,1100.0,1
Posco (Zhangjiagang) Stainless Steel Co Ltd,1100.0,1
Siam Yamato Steel Co Ltd,1100.0,2
Jilinheng Precision Casting Technology Co Ltd,1100.0,1
ABA Çelik Demir LŞ,1100.0,1
Koc Metalurji AŞ,1100.0,1
ArcelorMittal Hamburg GmbH,1100.0,1
Neelachal Ispat Nigam Ltd,1100.0,1
Stahlwerk Thueringen GmbH,1100.0,1
Acciaierie Bertoli Safau SpA,1100.0,1
SN SEIXAL Siderurgia Nacional SA,1100.0,1
Sterling Steel Co LLC,1090.0,1
Metallus Inc,1088.0,1
ArcelorMittal Kryvyi Rih PJSC,1083.0,1
Evonith Metallics Ltd,1080.0,1
Ovako AB,1075.0,2
GPH Ispat Ltd,1051.0,1
Yazici Demir Celik Sanayi ve Turizm Ticaret AŞ,1050.0,1
Eden Flame Sdn Bhd,1050.0,1
Siderurgica del Orinoco Alfredo Maneiro CA,1020.0,1
HES Hennigsdorfer Elektrostahlwerke GmbH,1000.0,1
Ezz Steel Co,1000.0,1
PT Mandan Steel,1000.0,1
Xinjiang Da'an Special Steel Co Ltd,1000.0,1
Xinjiang Ka Steel Group Co,1000.0,1
Xinjiang Yili Iron and Steel Co Ltd,1000.0,1
SUE DPR UMP,1000.0,1
Iranian Sirjan Steel Co,1000.0,1
Arfa Iron and Steel Co,1000.0,1
Peiner Traeger GmbH,1000.0,1
Dazhou Hangda Steel Co Ltd,1000.0,1
Anhui Langxi County Fuhang Steel Co Ltd,1000.0,1
Tung Ho Steel Vietnam Corp Ltd,1000.0,1
Posco Vietnam Co Ltd,1000.0,1
Yieh United Steel Corp,1000.0,1
Bonab Steel Complex,1000.0,1
Mescier Demir Celik AŞ,1000.0,1
Daehan Steel Co Ltd,1000.0,1
Vallourec Soluções Tubulares do Brasil SA,1000.0,1
KG Steel Co Ltd,1000.0,1
Neyriz Ghadir Steel Co,1000.0,1
Ashinskiy Metzavod PJSC,1000.0,1
Nervacero SA,1000.0,1
Henan YAXIN Steel Industry Co Ltd,1000.0,1
National Steel Co,1000.0,1
Devki Steel Mills Ltd,1000.0,1
Chizhou Guichi Guihang Metal Products Co Ltd,1000.0,1
Jingzhou Qunli Metal Products Co Ltd,1000.0,1
Wuzhou Yongda Special Steel Co Ltd,1000.0,1
Moldova Steel Works JSC,1000.0,1
Jiangxi Taixin Iron & Steel Co Ltd,1000.0,1
Outokumpu Stainless USA LLC,1000.0,1
Fushun Special Steel Co Ltd,999.0,1
Natanz Steel Co,999.0,1
Topy Industries Ltd,960.0,1
Fujian Qingtuo New Material Co Ltd,958.0,1
Jinye Steel Group Co Ltd,950.0,1
Severskiy Trubnyi Zavod JSC,950.0,1
Duferco Travi e Profilati SpA,950.0,1
Chelyabinskiy Truboprokatnyi Zavod JSC,950.0,1
JSW Ispat Special Products Ltd,950.0,1
Taganrogskiy Metallurgicheskiy Zavod JSC,950.0,1
YK Steel Corp,930.0,1
Aperam Inox America do Sul SA,900.0,1
Henan Xinjinhui Stainless Steel Industry Co Ltd,900.0,1
Ferriera Valsabbia SpA,900.0,1
Xining Special Steel Co Ltd,900.0,1
PT Jakarta Prima Steel Industries,900.0,1
Ann Joo Integrated Steel Sdn Bhd,900.0,1
Volzhskiy Trubnyi Zavod JSC,900.0,1
Celsa Huta Ostrowiec SP zoo,900.0,1
Nucor Steel Memphis Inc,891.0,1
Guangshui Huaxin Smelt Industry Co Ltd,869.0,1
Çebitaş Demir Çelik Endüstrisi AŞ,860.0,1
Cascade Steel Rolling Mills Inc,860.0,1
Nucor Steel Seattle Inc,855.0,1
Societe des Aciers d'Armature pour le Beton SAS,850.0,1
Columbus Stainless (Pty) Ltd,850.0,1
Rajhi Steel Industries Co Ltd,850.0,1
Sichuan Ya'an Anshan Iron and Steel Co Ltd,830.0,1
Tangshan Xinglong Steel Co Ltd,825.0,1
Ascometal France Holding SAS,825.0,1
Ann Joo Steel Bhd,820.0,1
Lamines Marchands Europeens SA,820.0,1
UMC Metals Ltd,805.0,1
Shengli Vietnam Special Steel Co Ltd,800.0,1
Riva Industries,800.0,1
KSRM Steel Plant Ltd,800.0,1
Ozmert Algeria SARL,800.0,1
Baku Steel Company QSC,800.0,1
BSRM Steels Ltd,800.0,1
