Owner,Number of Plants
Yazici Demir Celik Sanayi ve Turizm Ticaret AŞ,1
Yesilyurt Demir Celik Endustri Ve Liman Isletmeleri AŞ,1
Tembo Steels Uganda Ltd,1
Alchevsk Metallurgical Plant PJSC,1
ArcelorMittal Kryvyi Rih PJSC,1
Interpipe Ltd,1
Kamet-Steel PrJSC,1
Zaporiz'kyi Metalurhiinyi Kombinat Zaporizhstal' PJSC,1
Yenakiieve Metallurgical Plant Branch PJSC,1
SUE DPR UMP,1
Arabian Gulf Steel Industries Selling Port LLC,1
Emsteel Building Materials PJSC,1
Alton Steel Inc,1
AM/NS Calvert LLC,1
North Star BlueScope Steel Ltd,1
Cascade Steel Rolling Mills Inc,1
Aceros AZA SA,1
"Xinyang Iron & Steel Co.,ltd of Angang Group",1
A. Finkl & Sons Corp,1
Hybar LLC,1
JSW Steel USA Ohio Inc,1
Sterling Steel Co LLC,1
Metallus Inc,1
NLMK Indiana LLC,1
North American Stainless Inc,1
Angang Lianzhong Stainless Steel Corp,1
Nucor Steel Decatur LLC,1
Nucor Steel Kankakee Inc,1
Nucor Steel Louisiana LLC,1
Nucor Steel Memphis Inc,1
Nucor Steel Seattle Inc,1
Nucor Steel Tuscaloosa Inc,1
Nucor Yamato Steel Co,1
Optimus Steel LLC,1
BlueScope Steel Ltd,1
Anhui Changjiang Steel Co Ltd,1
Anhui Guihang Special Steel Co Ltd,1
Big River Steel LLC,1
Anhui Jin'an Stainless Steel Foundry Co Ltd,1
Vallourec Star LP,1
Uzbekskiy Metallurgicheskiy Kombinat JSC,1
Corporacion Venezolana de Guayana,1
Briquetera del Orinoco CA,1
Complejo Siderurgico de Guayana CA,1
CVG Ferrominera Orinoco CA,1
Siderurgica del Orinoco Alfredo Maneiro CA,1
Asean Steel JSC,1
Formosa Ha Tinh Steel Corp,1
Hoa Phat Dung Quat Steel JSC,1
Lao Cai Cast Iron and Steel,1
Pavgord doo,1
Anhui Langxi County Fuhang Steel Co Ltd,1
Posco Vietnam Co Ltd,1
Shengli Vietnam Special Steel Co Ltd,1
Thai Nguyen Iron And Steel JSC,1
Tung Ho Steel Vietnam Corp Ltd,1
Tuyen Quang Iron Steel Co Ltd,1
VAS Steel An Hung Tuong LLC,1
Nghi Son VAS Group JSC,1
VAS Steel Tue Minh JSC,1
Viet Nhat Advanced Steel JSC,1
Vietnam - Italy Steel JSC,1
Vina Kyoei Steel Ltd Co,1
Vina One Steel Manufacturing Corp,1
VNSTEEL Southern Steel Co Ltd,1
ArcelorMittal Poland SA,1
